transaction_pk,tag_id,user_id,car_model_id,car_name,txn_id,nominal_kwh,usable_kwh,label_soh_abs,label_soh,soc_min_full,soc_max_full,delta_soc_full,soc_min_20_80,soc_max_20_80,delta_soc_20_80,dsoc_dt_mean,dsoc_dt_max,start_ts,end_ts,connector,seq_len
23109,0CCC478CEE82,1436,42,BYD Atto 3 Premium,23109,60.48,63.20225694444446,1.045010862176661,1.045010862176661,13.0,100.0,87.0,20.0,80.0,60.0,0.0283242258652094,0.0333333333333333,2025-05-15 01:27:00,2025-05-15 02:29:00,363013,61
23157,0CCC478CEE68,1571,45,BYD M6 Performance,23157,55.4,60.51755555555555,1.0923746490172483,1.05,0.0,100.0,100.0,20.0,80.0,60.0,0.0271402550091074,0.0333333333333333,2025-05-15 09:34:00,2025-05-15 10:38:00,628886,61
23163,0983328826-tag,654,42,BYD Atto 3 Premium,23163,60.48,21.316135416666665,0.3524493289792769,0.7,19.0,91.0,72.0,20.0,80.0,60.0,0.0244990892531876,0.0333333333333333,2025-05-15 10:16:00,2025-05-15 11:12:00,351899,61
23187,0966881804-tag,668,40,BYD Dolphin GLX,23187,44.9,62.3416076388889,1.388454513115566,1.05,11.0,100.0,89.0,20.0,80.0,60.0,0.034335154826958,0.05,2025-05-15 13:30:00,2025-05-15 14:30:00,351899,61
23188,0CCC478B9622,1080,40,BYD Dolphin GLX,23188,44.9,59.13176011131736,1.3169657040382483,1.05,0.0,90.0,90.0,20.0,80.0,60.0,0.0271518461948113,0.3499999916553499,2025-05-15 13:47:00,2025-05-15 14:51:00,628886,61
23214,evc1694,1694,40,BYD Dolphin GLX,23214,44.9,48.26049614197532,1.07484401207072,1.05,6.0,98.0,92.0,20.0,80.0,60.0,0.0352276867030965,0.05,2025-05-16 00:30:00,2025-05-16 01:27:00,1332151,61
23217,evc1617,1617,41,BYD Atto 3 Dynamic,23217,49.92,54.581468750000006,1.0933787810496796,1.05,10.0,81.0,71.0,20.0,80.0,60.0,0.0306739526411657,0.05,2025-05-16 00:55:00,2025-05-16 01:36:00,1362797,61
23219,evc1711,1711,45,BYD M6 Performance,23219,55.4,24.0882015137262,0.4348050814752021,0.7,0.0,100.0,100.0,20.0,80.0,60.0,0.6123497233139916,0.9666667050785503,2025-05-16 01:10:00,2025-05-16 01:51:00,628886,61
23232,0CCC478CEE68,1571,45,BYD M6 Performance,23232,55.4,23.763747127410557,0.4289485041048836,0.7,0.0,83.0,83.0,20.0,80.0,60.0,0.6121036673097432,0.9666667050785503,2025-05-16 02:41:00,2025-05-16 02:59:00,628886,61
23259,evc1618,1618,45,BYD M6 Performance,23259,55.4,62.65592708333333,1.1309734130565583,1.05,19.0,100.0,81.0,20.0,80.0,60.0,0.0307832422586521,0.0333333333333333,2025-05-16 06:34:00,2025-05-16 07:31:00,1362797,61
